start_hour,start_month,start_weekday,duration_minutes,Distance(mi),Temperature(F),Visibility(mi),Amenity,Bump,Crossing,Junction,Railway,Stop,Traffic_Signal,Severity
11,4,2,45.0,0.01,59.0,8.0,0,0,0,0,0,0,0,2
10,5,2,30.0,0.0,77.0,10.0,0,0,0,0,0,0,0,2
1,12,3,44.65,0.01,57.0,8.0,0,0,0,0,0,0,0,2
16,9,2,75.0,0.0,97.0,10.0,0,0,1,0,0,0,1,2
4,12,3,118.13333333333334,0.01,50.0,10.0,0,0,0,0,0,0,0,3
11,11,1,29.083333333333332,0.01,57.9,10.0,0,0,0,0,0,0,0,2
11,10,4,35.4,0.01,69.1,4.0,0,0,0,0,0,0,0,3
13,8,4,30.0,0.0,69.1,10.0,0,0,0,1,0,0,0,3
16,12,2,29.6,0.0,64.0,10.0,0,0,0,0,0,1,0,2
18,12,2,29.516666666666666,0.01,57.2,6.0,0,0,0,0,0,0,0,2
22,6,2,45.0,0.0,80.6,10.0,0,0,0,0,0,0,0,3
7,7,6,60.0,0.0,62.1,10.0,0,0,0,0,0,0,0,2
20,11,4,29.05,0.01,61.0,10.0,0,0,0,0,0,0,0,3
14,11,0,29.7,0.01,60.1,10.0,0,0,0,0,0,0,0,2
10,11,2,29.616666666666667,0.01,66.9,10.0,0,0,0,0,0,0,0,3
11,3,2,30.0,0.0,64.0,10.0,0,0,0,0,0,0,0,3
10,9,0,44.7,0.0,77.0,10.0,0,0,0,0,0,1,0,2
18,5,5,30.0,0.01,73.9,10.0,0,0,0,0,0,0,0,3
1,12,6,44.666666666666664,0.01,48.0,10.0,0,0,0,0,0,0,0,3
9,12,5,29.016666666666666,0.01,48.9,10.0,0,0,0,0,0,0,0,3
14,8,1,45.0,0.0,84.2,10.0,0,0,0,0,0,0,0,3
19,5,3,45.0,0.01,62.6,10.0,0,0,0,0,0,0,0,3
11,10,2,29.483333333333334,0.01,69.1,10.0,0,0,0,0,0,0,0,3
17,10,5,29.633333333333333,0.01,84.2,10.0,0,0,0,0,0,0,0,3
12,4,3,30.0,0.01,61.0,10.0,0,0,0,1,0,0,0,3
19,6,5,60.0,0.0,73.0,10.0,0,0,0,0,0,0,0,2
20,5,6,30.0,0.01,61.0,10.0,0,0,0,0,0,0,0,2
16,10,6,29.683333333333334,0.0,72.0,10.0,0,0,0,0,0,1,0,2
8,1,4,45.03333333333333,0.01,39.9,10.0,0,0,1,0,1,0,0,2
